0,
1,"[[""'박력분,버터,설탕'만으로 만드는 에어프라이기! 버터쿠키레시피★"", '2인분 60분 이내 초급 '], {'[주재료]': ['박력분67g', '버터59g', '설탕1T'], '[준비물]': ['종이호일', '가위1개', '펜1개', '일회용비닐1개', '거품기1개', '체1개']}, ['#1 전자렌지에 1분간 녹인 버터를 볼에 부어요.실온에 둔 고체형태 버터를 사용해도 무관해요!! 저는 녹이니 사용하기 편해서 녹였답니다.', '#2 거품기를 이용해 버터를 풀어요.', '#3 설탕을 투하해요.', '#4 거품기를 이용해 설탕을 섞어요.', '#5 박력분을 체로 내려요.', '#6 박력분을 잘 섞어요.체보다 손을 이용해 섞는 것이 좋아요!! 체를 사용하니 설거지가 힘들더라구요 ㅠㅠ', '#7 완성된 반죽을 동그랗게 모아요.', '#8 반죽을 일회용 비닐에 넣어 길쭉한 모양을 해요.', '#9 일회용 비닐을 잘 감싸고 냉동실에 1시간 얼려요.', '#10 반죽이 냉동 보관될 동안 종이호일을 오려볼까요?종이호일, 에어프라이기 틀, 가위, 검은펜을 준비해요.', '#11 종이호일에 에어프라이길 틀을 올려놓고 검은펜으로 쿠키반죽 놓는 곳, 손잡이를 그려요.', '#12 가위로 선을 따라 오려요.', '#13 도마위에 종이호일을 올려 얼려둔 쿠키반죽을 가져와요.', '#14 쿠키 반죽을 칼로 썰어요.일회용 비닐을 반만 젖혀 손으로 잡고 썰면 편해요! 반죽이 녹기 전에 빨리 썰어요!', '#15 오려둔 종이호일 위에 절단한 쿠키반죽을 올려요.', '#16 170℃ 에서 15분간 구워요.기계에 따라 시간과 온도에 차이가 있어요.', '#17 긴 나무젓가락을 이용해 뒷면을 뒤집어 180℃에서 5분간 구워요.', '#18 완성된 쿠키!!', '#19 베어 문 쿠키의 단면 모습!!버터의 고소한 맛과 파삭거리는 식감이 너무 좋아요! '], []]"
2,"[['버섯으로 관자 느낌 내는 방법! 새송이버섯간장버터구이 만들기', '1인분 15분 이내 아무나 '], {'[재료]': ['새송이버섯2개', '버터30g', '어린잎채소'], '[소스재료]': ['간장1T', '맛술1T', '올리고당1/2T']}, ['#1 버섯의 밑동과 갓을 잘라낸 뒤, 3~4등분 한다', '#2 자른버섯의 양면에 칼집을 낸다', '#3 팬에 버터를 녹인다', '#4 버섯을 굽는다', '#5 불을 약불로 줄이고 소스를 넣고 졸인다'], []]"
3,"[['[원볼,원팬]건강한데 맛있기까지?! 노버터 통밀 오트밀 쿠키', '4인분 30분 이내 아무나 '], {'[재료]': ['통밀우리밀150g', '계란1개60g', '설탕60g', '베이킹파우더1g', '오트밀100g', '견과류85g', '초코칩30g', '바닐라엑스트렉3방울', '카놀라유45g']}, ['#1 카놀라유와 설탕을 넣고 섞어 줍니다.', '#2 계란, 바닐라 엑스트렉을 넣고 설탕의 서걱거림이 잦아들도록 섞어주세요', '#3 통밀 + 베이킹파우더를 체 쳐 넣어 섞어주세요.', '#4 볶은 오트밀과 견과류, 초코칩을 넣고 섞어 뭉쳐주세요. [주걱을 세워 가르듯이 섞어주세요]', '#5 적당한 크기로 분할한 뒤, 반죽을 눌러 팬닝합니다. 취향에 따라 추가로 초코칩을 더 올려주어도 좋아요', '#6 180도 예열된 오븐에서 15분간 구워 완성합니다. [오븐 사양에 따라 다르니 구움색을 잘 체크 해 주세요.]'], []]"
4,"[['최애반찬 소시지 감자조림', '3인분 10분 이내 초급 '], {'[재료]': ['감자2개', '비엔나소시지10여개', '청양고추2개', '식용유2스푼', '식초1티스푼'], '[양념]': ['간장2스푼', '굴소스1스푼', '물1/2컵', '다진마늘0.5스푼', '맛술2스푼', '황설탕0.5스푼', '올리고당1.5스푼', '참기름', '후추', '깨소금약간씩']}, ['#1 재료 준비해 주세요~', '#2 감자는 먹기 좋은 크기로 썰고 청양고추는 송송 썰고  비엔나소시지는 끓는 물에 한번 샤워시켜 준 다음 간이 잘 배이도록 이등분해 주면 재료 준비 끝!', '#3 팬에 기름 약간 두르고 감자 넣고 1~2분 볶아  기름코팅을 시켜 준 다음 물 반컵 넣어 주세요~감자 기름에 볶은 후 조리면  잘 부서지지도 않고 간도 잘 배여요~', '#4 적힌 분량의 간장, 굴소스, 황설탕, 맛술,  다진마늘, 올리고당을 넣어 주세요~', '#5 한번 휘저어 섞은 후 뚜껑 닫고  감자가 익도록 3분 정도만 끓여 주세요~', '#6 마지막에 식초 1티스푼 넣고 센불로 볶아 식초향 날린 후 청양고추 넣고 한번 뒤적거려 준 다음 불 끄고  참기름, 깨소금 , 후추 약간 넣어 마무리 하면 완성!', '#7 슴슴하게 간이 적당하게 배여  밥반찬으로 넘 좋은 소시지 감자조림입니다'], []]"
5,"[[""고기처럼 쫄깃한 밥도둑 반찬 '새송이버섯 간장버터구이'레시피"", '2인분 10분 이내 아무나 '], {'[재료]': ['새송이버섯3동', '청양고추1개', '대파1/2대', '버터1T'], '[앙념]': ['간장5T', '올리고당2T', '다진마늘1T', '참기름1T', '물2T']}, ['#1 먼저 새송이 버섯 3동은 밑동을 제거하고 일정한 두께로 잘라 줍니다. 대파와 청양고추는 쫑쫑 썰어 줍니다.', '#2 간장5T,올리고당2T,물2T,다진마늘1T, 참기름1T를 섞어주신뒤 썰어놓은 청양고추,대파를 섞어줍니다.T:성인 숟가락 기준입니다', '#3 달궈진 팬에 버터 1스푼 녹여준 뒤 새송이버섯을 앞뒤로 구워 줍니다.중약불', '#4 버섯이 쫄깃하게 구워지면 만들어 놓은 양념을 버섯이 자작히 잠기도록 부어 줍니다.약불에서 타지 않게 졸여 주심 끝!', '#5 고기처럼 쫄깃한 새송이버섯 간장버터구이 완성입니다!', '#6 한개 먹어보니 고소한 버터향에 짭쪼롬한 간장양념이 어우려져 참 맛있어요!밥 한공기 뚝딱 하게 만듭니다^^'], []]"
6,"[['고소하고 상큼한 일본식 오이토마토무침', '2인분 20분 이내 아무나 '], {'[재료]': ['오이1개', '완숙토마토1개', '꽃소금약간'], '[양념]': ['설탕2작은술', '깨소금2큰술', '현미식초2작은술', '양조간장1큰술', '참기름1작은술']}, ['#1 오이와 토마토는 깨끗이  씻어 주고 (토마토가 작아서 두개 했어요) 오이 표면에 있는 오돌도톨한  부분을 살짝 제거 해 주세요', '#2 오이는 반으로 잘라서 씨를 제거 해 주고 ~', '#3 오이는 1.5cm 정도로 썰어 주고 ~', '#4 꽃소금 약간 넣어 섞어 준 다음 10분 절임 하고 ~', '#5 키친타올에 수분기 제거 하고 ~', '#6 볼에 담아 주세요', '#7 토마토는 십자로 썰어 주고 다시 반으로 잘라서 ~', '#8 씨를 제거 해 주세요', '#9 양념 만들어 주고 ~', '#10 깨소금은 바로 곱게 갈아 주면 더 맛있어요', '#11 양념은 잘 섞어 주세요', '#12 볼에 오이와 토마토 담아 주고 ~', '#13 양념 넣어 주고 ~', '#14 살살 버무려 주면 됩니다', '#15 접시에 담아 주고 ~'], []]"
7,"[['즉석 목살 양념구이~ 달큰한 양념소스가 정말 맛있습니다.', '2인분 20분 이내 초급 '], {'[재료]': ['돼지목살300g'], '[즉석양념]': ['설탕1T', '간장1-1/4T', '물엿2T', '간마늘1/2큰술', '생강가루1꼬집', '맛술1T', '굴소스1/2T', '후추가루1꼬집', '대파다진거1큰술']}, ['#1 페이지속 레시피 동영상 시청과!! 유튜브 구독은 레시피 제작에 커다란 힘이 됩니다!! 즉석양념 재료를 모두 넣고 설탕이 완전히 녹을때 까지 잘 저어주세요.', '#2 프라이팬을 충분하게 예열 한 다음 목살을 구워 주세요. 불이 너무 약하면 고기에서 육즙이 다 빠져 나오고 비린내도 날수 있습니다~ 꼭 쎈불에 양면을 구워 주세요. 나중에 양념에 조릴거라 안쪽까지 다 안익어도 됩니다~ 겉면이 노릇해 질때까지만 구워주세요.', '#3 목살의 양면이 노룻해지면 양념장을 골고루 끼얹어 주세요.', '#4 양념장을 부은 다음 물 20cc 정도를 부어주세요. 양념장을 만드실때 함께 넣어도 상관없습니다.', '#5 30초 정도 바글바글 끓여 주다가 불을 완전히 줄이고 고기를 먹기 좋은 크기로 잘라주세요. 불을 안줄이고 자르면 양념장에 수분이 순식간에 증발해 버려서 양념이 타기 시작합니다. 커팅 할때는 불을 완전히 줄이고 커팅 해주세요~', '#6 커팅을 완료 하셨으면 불을 강하게 두고 주걱으로 잘 저어 가면서 양념을 졸여 주면 됩니다. 시잔처럼 양념이 거의다 졸여져서 수분이 안보일때까지 졸여 주시면 됩니다~', '#7 완성입니다~ 윤기가 파르르 한게 정말 맛있엇어요~ 밥반찬으로도 술안주로도 강추 입니다~ 페이지속 레시피 동영상 시청은 레시피 제작에 커다란 힘이 됩니다.'], []]"
8,"[['새우요리 갈릭마요새우~ 요거 완전 맛있지~', '1인분 15분 이내 아무나 '], {'[재료]': ['냉동새우1줌'], '[양념]': ['마요네즈4큰술', '다진마늘1큰술', '설탕1큰술'], '[새우 밑간]': ['후추약간', '소금약간']}, ['#1 냉동 새우 한줌을 해동 시켜주세요. 그냥 실온에 두셔서 해동시키셔도 되고, 전자렌지 해동기능을 사용하셔도 되요. 전 좀 느지막히 꺼내놓아서 전자렌지에 해동했어요.', '#2 전자렌지에 냉동새우를 잠깐 돌리는 동안 분량의 양념을 섞어서 만들어주세요. 마요네즈 4큰술, 다진마늘 1큰술, 설탕 1큰술조금 더 매콤하게 드시고 싶은 분들은 다져서 양념에 추가시키시면되요~', '#3 해동이 끝난 냉동새우는 후추와 소금을 뿌려서 잠깐 재워두었어요.', '#4 20분 정도 지나고 물기를 어느정도 제거해주고 기름을 두른 팬에 밑간한 새우를 넣고 앞뒤로 살짝 뒤집어 가며 익혀주세요~', '#5 어느정도 노릇노릇해지면 섞어놓은 양념을 넣고 같이 섞어주시면 되요', '#6 양념이 어느정도 노릇해 지면 불꺼서 마무리~!! 완성된 갈릭마요새우예요~~!!'], []]"
9,"[['완전맛있는 차돌박이찜! 미소된장마요소스도 함께~', '2인분 15분 이내 아무나 '], {'[재료]': ['차돌박이10장', '깻잎5장', '팽이버섯1묶음', '숙주나물1주먹'], '[미소된장마요소스]': ['미소된장1큰숟갈', '마요네즈1숟갈', '올리고당1숟갈', '다진마늘0.5숟갈', '고춧가루0.3숟갈', '청양고추1개다진것', '물2숟갈']}, ['#1 팽이버섯은 밑둥을 잘라내고 씻어주시고 깻잎도 흐르는물에 씻어주세요저는 깻잎이 커서 반으로 잘라서 사용! 작으면 1장을 통채로 쓰시면됩니다', '#2 차돌박이 위에깻잎을 올리고', '#3 그위에 팽이버섯을 올려준뒤', '#4 돌돌 말아주기만하면 완성이에요', '#5 만드는 방법 완전 간단하죠?', '#6 냄비에 숙주나물을 한주먹 깔고', '#7 차돌박이를 올려 10분간 쪄주면 끝차돌박이 말린이음새 부분이 아래로 가게 두고 찌면 풀어지지않아요', '#8 차돌박이찜이 완성되는 사이 소스를 만들어볼게요! 처음엔 된장이랑 마요네즈? 하실텐데 드셔보시면 고기랑 정말 잘어울리는 소스!', '#9 분량의 재료들을 잘섞어주시면되구요 미소된장이 없으시다면 집된장 말고 시판된장 싱거운걸 사용하셔도 됩니다', '#10 차돌박이 찜기에 넣고 소스만들면 그사이 차돌박이찜 완성입니다 금새 익기때문에 정말 초스피드로 완성할수있는 요리에요', '#11 예쁘게 그릇에 담아주면 끝!', '#12 된장마요소스에 콕 찍어먹으면 정말 맛있답니다  강력추천!'], []]"
